"","index","Job.Title","Salary.Estimate","Rating","Company.Name","Location","Headquarters","Size","Founded","Type.of.ownership","Industry","Sector","Revenue","Competitors","City","State","Salary","MinSalary","MaxSalary","AvgSalary","MinRevenue","MaxRevenue","AvgRevenue","MinEmployeeCount","MaxEmployeeCount","AvgEmployeeCount","Python","SAS","MATLAB","R","Java","SQL"
"1","0","Sr Data Scientist","$137K-$171K (Glassdoor est.)",3.1,"Healthfirst
3.1","New York, NY","New York, NY","1001 to 5000 ","1993","Nonprofit Organization","Insurance Carriers","Insurance","Not Provided","EmblemHealth, UnitedHealth Group, Aetna","New York","NY","137000-171000",137000,171000,154000,100000000,500000000,300000000,1001,5000,3001,0,0,0,0,0,0
"2","1","Data Scientist","$137K-$171K (Glassdoor est.)",4.2,"ManTech
4.2","Chantilly, VA","Herndon, VA","5001 to 10000 ","1968","Company - Public","Research & Development","Business Services","1 to 2 billion ","Not Provided","Chantilly","VA","137000-171000",137000,171000,154000,1000000000,2000000000,1500000000,5001,10000,7501,0,0,0,0,0,0
"3","2","Data Scientist","$137K-$171K (Glassdoor est.)",3.8,"Analysis Group
3.8","Boston, MA","Boston, MA","1001 to 5000 ","1981","Private Practice / Firm","Consulting","Business Services","100 to 500 million ","Not Provided","Boston","MA","137000-171000",137000,171000,154000,100000000,500000000,300000000,1001,5000,3001,0,0,0,0,0,0
"4","3","Data Scientist","$137K-$171K (Glassdoor est.)",3.5,"INFICON
3.5","Newton, MA","Bad Ragaz, Switzerland","501 to 1000 ","2000","Company - Public","Electrical & Electronic Manufacturing","Manufacturing","100 to 500 million ","MKS Instruments, Pfeiffer Vacuum, Agilent Technologies","Newton","MA","137000-171000",137000,171000,154000,100000000,500000000,300000000,501,1000,751,0,0,1,0,0,1
"5","4","Data Scientist","$137K-$171K (Glassdoor est.)",2.9,"Affinity Solutions
2.9","New York, NY","New York, NY","51 to 200 ","1998","Company - Private","Advertising & Marketing","Business Services","Not Provided","Commerce Signals, Cardlytics, Yodlee","New York","NY","137000-171000",137000,171000,154000,100000000,500000000,300000000,51,200,126,1,1,0,0,0,1
"6","5","Data Scientist","$137K-$171K (Glassdoor est.)",4.2,"HG Insights
4.2","Santa Barbara, CA","Santa Barbara, CA","51 to 200 ","2010","Company - Private","Computer Hardware & Software","Information Technology","Not Provided","Not Provided","Santa Barbara","CA","137000-171000",137000,171000,154000,100000000,500000000,300000000,51,200,126,1,0,0,0,1,1
"7","6","Data Scientist / Machine Learning Expert","$137K-$171K (Glassdoor est.)",3.9,"Novartis
3.9","Cambridge, MA","Basel, Switzerland","10000 ","1996","Company - Public","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","10 billion ","Not Provided","Cambridge","MA","137000-171000",137000,171000,154000,10000000000,500000000,10000000000,10000,500,10000,1,0,0,0,0,0
"8","7","Data Scientist","$137K-$171K (Glassdoor est.)",3.5,"iRobot
3.5","Bedford, MA","Bedford, MA","1001 to 5000 ","1990","Company - Public","Consumer Electronics & Appliances Stores","Retail","1 to 2 billion ","Not Provided","Bedford","MA","137000-171000",137000,171000,154000,1000000000,2000000000,1500000000,1001,5000,3001,1,0,0,0,0,1
"9","8","Staff Data Scientist - Analytics","$137K-$171K (Glassdoor est.)",4.4,"Intuit - Data
4.4","San Diego, CA","Mountain View, CA","5001 to 10000 ","1983","Company - Public","Computer Hardware & Software","Information Technology","2 to 5 billion ","Square, PayPal, H&R Block","San Diego","CA","137000-171000",137000,171000,154000,2000000000,5000000000,3500000000,5001,10000,7501,0,0,0,0,0,0
"10","9","Data Scientist","$137K-$171K (Glassdoor est.)",3.6,"XSELL Technologies
3.6","Chicago, IL","Chicago, IL","51 to 200 ","2014","Company - Private","Enterprise Software & Network Solutions","Information Technology","Not Provided","Not Provided","Chicago","IL","137000-171000",137000,171000,154000,100000000,500000000,300000000,51,200,126,1,0,0,0,0,1
"11","10","Data Scientist","$137K-$171K (Glassdoor est.)",4.5,"Novetta
4.5","Herndon, VA","Mc Lean, VA","501 to 1000 ","2012","Company - Private","Enterprise Software & Network Solutions","Information Technology","100 to 500 million ","Leidos, CACI International, Booz Allen Hamilton","Herndon","VA","137000-171000",137000,171000,154000,100000000,500000000,300000000,501,1000,751,1,0,0,0,1,0
"12","11","Data Scientist","$137K-$171K (Glassdoor est.)",4.7,"1904labs
4.7","Saint Louis, MO","Saint Louis, MO","51 to 200 ","2016","Company - Private","IT Services","Information Technology","Not Provided","Slalom, Daugherty Business Solutions","Saint Louis","MO","137000-171000",137000,171000,154000,100000000,500000000,300000000,51,200,126,1,0,0,1,0,1
"13","12","Data Scientist - Statistics, Early Career","$137K-$171K (Glassdoor est.)",3.7,"PNNL
3.7","Richland, WA","Richland, WA","1001 to 5000 ","1965","Government","Energy","Oil, Gas, Energy & Utilities","500 million to 1 billion ","Oak Ridge National Laboratory, National Renewable Energy Lab, Los Alamos National Laboratory","Richland","WA","137000-171000",137000,171000,154000,500000000000000000,1000000000,250000000500000000,1001,5000,3001,0,0,0,0,0,0
"14","13","Data Modeler","$137K-$171K (Glassdoor est.)",3.1,"Old World Industries
3.1","Northbrook, IL","Northbrook, IL","201 to 500 ","1973","Company - Private","Chemical Manufacturing","Manufacturing","1 to 2 billion ","Not Provided","Northbrook","IL","137000-171000",137000,171000,154000,1000000000,2000000000,1500000000,201,500,351,0,0,0,0,0,1
"15","14","Data Scientist","$137K-$171K (Glassdoor est.)",3.4,"Mathematica Policy Research
3.4","Washington, DC","Princeton, NJ","1001 to 5000 ","1986","Company - Private","Consulting","Business Services","100 to 500 million ","Not Provided","Washington","DC","137000-171000",137000,171000,154000,100000000,500000000,300000000,1001,5000,3001,1,0,0,1,0,0
"16","15","Experienced Data Scientist","$137K-$171K (Glassdoor est.)",4.4,"Guzman & Griffin Technologies (GGTI)
4.4","Washington, DC","Mays Landing, NJ","1 to 50 ","1997","Company - Private","Federal Agencies","Government","Not Provided","Not Provided","Washington","DC","137000-171000",137000,171000,154000,100000000,500000000,300000000,1,50,26,1,0,0,1,1,1
"17","16","Data Scientist - Contract","$137K-$171K (Glassdoor est.)",4.1,"Upside Business Travel
4.1","Remote","Washington, DC","51 to 200 ","2015","Company - Private","Internet","Information Technology","Not Provided","Not Provided","Remote","Not Provided","137000-171000",137000,171000,154000,100000000,500000000,300000000,51,200,126,0,0,0,0,0,0
"18","17","Data Scientist","$137K-$171K (Glassdoor est.)",3.5,"Buckman
3.5","Memphis, TN","Memphis, TN","1001 to 5000 ","1945","Company - Private","Chemical Manufacturing","Manufacturing","500 million to 1 billion ","Not Provided","Memphis","TN","137000-171000",137000,171000,154000,500000000000000000,1000000000,250000000500000000,1001,5000,3001,1,0,1,0,1,1
"19","18","Data Analyst II","$137K-$171K (Glassdoor est.)",4.2,"Insight Enterprises, Inc.
4.2","Plano, TX","Tempe, AZ","5001 to 10000 ","1988","Company - Public","Enterprise Software & Network Solutions","Information Technology","5 to 10 billion ","CDW, PCM, SHI International","Plano","TX","137000-171000",137000,171000,154000,5000000000,10000000000,7500000000,5001,10000,7501,0,0,0,0,0,0
"20","19","Medical Lab Scientist","$137K-$171K (Glassdoor est.)",3.5,"Tower Health
3.5","West Grove, PA","Reading, PA","5001 to 10000 ","2017","Nonprofit Organization","Health Care Services & Hospitals","Health Care","Not Provided","Not Provided","West Grove","PA","137000-171000",137000,171000,154000,100000000,500000000,300000000,5001,10000,7501,0,0,0,0,0,0
"21","20","Data Scientist","$137K-$171K (Glassdoor est.)",3.2,"Triplebyte
3.2","New York, NY","San Francisco, CA","51 to 200 ","2015","Company - Private","Computer Hardware & Software","Information Technology","Not Provided","Not Provided","New York","NY","137000-171000",137000,171000,154000,100000000,500000000,300000000,51,200,126,0,0,0,0,0,0
"22","21","Data Scientist/Machine Learning","$137K-$171K (Glassdoor est.)",4.3,"PulsePoint
4.3","New York, NY","New York, NY","51 to 200 ","2011","Company - Private","Internet","Information Technology","100 to 500 million ","Crossix Solutions Inc., AppNexus, The Trade Desk","New York","NY","137000-171000",137000,171000,154000,100000000,500000000,300000000,51,200,126,1,0,0,0,0,0
"23","22","Human Factors Scientist","$137K-$171K (Glassdoor est.)",3.5,"Exponent
3.5","Phoenix, AZ","Menlo Park, CA","1001 to 5000 ","1967","Company - Public","Consulting","Business Services","100 to 500 million ","Not Provided","Phoenix","AZ","137000-171000",137000,171000,154000,100000000,500000000,300000000,1001,5000,3001,0,0,0,0,0,0
"24","23","Business Intelligence Analyst I- Data Insights","$137K-$171K (Glassdoor est.)",3.5,"Guardian Life
3.5","Appleton, WI","New York, NY","5001 to 10000 ","1860","Company - Private","Insurance Carriers","Insurance","5 to 10 billion ","Northwestern Mutual","Appleton","WI","137000-171000",137000,171000,154000,5000000000,10000000000,7500000000,5001,10000,7501,0,0,0,0,0,0
"25","24","Data Scientist","$137K-$171K (Glassdoor est.)",3.4,"Spectrum Communications and Consulting
3.4","Chicago, IL","Chicago, IL","51 to 200 ","1992","Company - Private","Advertising & Marketing","Business Services","10 to 25 million ","Not Provided","Chicago","IL","137000-171000",137000,171000,154000,10000000,25000000,17500000,51,200,126,0,1,0,1,0,1
"26","25","Data Scientist","$137K-$171K (Glassdoor est.)",4.7,"Oversight Systems
4.7","Atlanta, GA","Atlanta, GA","51 to 200 ","2003","Company - Private","Computer Hardware & Software","Information Technology","25 to 50 million ","Not Provided","Atlanta","GA","137000-171000",137000,171000,154000,25000000,50000000,37500000,51,200,126,0,0,0,0,0,1
"27","26","Data Scientist - Risk","$137K-$171K (Glassdoor est.)",4.2,"LSQ
4.2","Orlando, FL","Orlando, FL","51 to 200 ","1996","Company - Private","Investment Banking & Asset Management","Finance","100 to 500 million ","Not Provided","Orlando","FL","137000-171000",137000,171000,154000,100000000,500000000,300000000,51,200,126,1,1,0,0,0,0
"28","27","Data Scientist-Human Resources","$137K-$171K (Glassdoor est.)",3.8,"MIT Lincoln Laboratory
3.8","Lexington, MA","Lexington, MA","1001 to 5000 ","1951","Nonprofit Organization","Aerospace & Defense","Aerospace & Defense","Not Provided","Not Provided","Lexington","MA","137000-171000",137000,171000,154000,100000000,500000000,300000000,1001,5000,3001,1,1,0,0,0,1
"29","28","Data Scientist","$137K-$171K (Glassdoor est.)",4.5,"Kingfisher Systems
4.5","McLean, VA","Falls Church, VA","51 to 200 ","2005","Company - Private","Federal Agencies","Government","25 to 50 million ","Not Provided","McLean","VA","137000-171000",137000,171000,154000,25000000,50000000,37500000,51,200,126,1,1,0,0,0,1
"30","29","Data Scientist","$137K-$171K (Glassdoor est.)",2.8,"Formation
2.8","San Francisco, CA","San Francisco, CA","51 to 200 ","2015","Company - Private","Enterprise Software & Network Solutions","Information Technology","Not Provided","Not Provided","San Francisco","CA","137000-171000",137000,171000,154000,100000000,500000000,300000000,51,200,126,0,0,0,0,0,0
"31","30","Data Scientist","$75K-$131K (Glassdoor est.)",3.8,"Analysis Group
3.8","Boston, MA","Boston, MA","1001 to 5000 ","1981","Private Practice / Firm","Consulting","Business Services","100 to 500 million ","Not Provided","Boston","MA","75000-131000",75000,131000,103000,100000000,500000000,300000000,1001,5000,3001,0,0,0,0,0,0
"32","31","Data Scientist / Machine Learning Expert","$75K-$131K (Glassdoor est.)",3.9,"Novartis
3.9","Cambridge, MA","Basel, Switzerland","10000 ","1996","Company - Public","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","10 billion ","Not Provided","Cambridge","MA","75000-131000",75000,131000,103000,10000000000,500000000,10000000000,10000,500,10000,1,0,0,0,0,0
"33","32","Data Scientist","$75K-$131K (Glassdoor est.)",5,"Cohere Health
5.0","Boston, MA","Boston, MA","1 to 50 ","2019","Company - Private","IT Services","Information Technology","Not Provided","Not Provided","Boston","MA","75000-131000",75000,131000,103000,100000000,500000000,300000000,1,50,26,1,0,0,0,0,1
"34","33","Senior Research Statistician- Data Scientist","$75K-$131K (Glassdoor est.)",4.8,"Acuity Insurance
4.8","Sheboygan, WI","Sheboygan, WI","1001 to 5000 ","1925","Company - Private","Insurance Carriers","Insurance","1 to 2 billion ","Not Provided","Sheboygan","WI","75000-131000",75000,131000,103000,1000000000,2000000000,1500000000,1001,5000,3001,0,1,0,0,0,0
"35","34","Data Engineer","$75K-$131K (Glassdoor est.)",3.6,"Chef
3.6","United States","Seattle, WA","201 to 500 ","2008","Company - Private","Enterprise Software & Network Solutions","Information Technology","50 to 100 million ","Puppet, Ansible, SaltStack","United States","Not Provided","75000-131000",75000,131000,103000,50000000,100000000,75000000,201,500,351,0,0,0,0,1,1
"36","35","Associate Data Scientist","$75K-$131K (Glassdoor est.)",3.3,"Puget Sound Energy
3.3","Bothell, WA","Bellevue, WA","1001 to 5000 ","1999","Company - Private","Utilities","Oil, Gas, Energy & Utilities","2 to 5 billion ","Not Provided","Bothell","WA","75000-131000",75000,131000,103000,2000000000,5000000000,3500000000,1001,5000,3001,0,0,0,0,0,1
"37","36","Business Intelligence Analyst","$75K-$131K (Glassdoor est.)",2.7,"Sandhills Global
2.7","Lincoln, NE","Lincoln, NE","1001 to 5000 ","1978","Company - Private","Enterprise Software & Network Solutions","Information Technology","50 to 100 million ","Not Provided","Lincoln","NE","75000-131000",75000,131000,103000,50000000,100000000,75000000,1001,5000,3001,1,0,0,0,0,1
"38","37","Data Scientist","$75K-$131K (Glassdoor est.)",2.7,"A Place for Mom
2.7","Overland Park, KS","New York, NY","501 to 1000 ","2000","Company - Private","Health Care Services & Hospitals","Health Care","Not Provided","Enlivant, Sunrise Senior Living, Brookdale Senior Living","Overland Park","KS","75000-131000",75000,131000,103000,100000000,500000000,300000000,501,1000,751,1,0,0,1,0,1
"39","38","Data Scientist","$75K-$131K (Glassdoor est.)",2.2,"Great-Circle Technologies
2.2","Chantilly, VA","Chantilly, VA","1 to 50 ","2000","Company - Private","Enterprise Software & Network Solutions","Information Technology","1 to 5 million ","Not Provided","Chantilly","VA","75000-131000",75000,131000,103000,1000000,5000000,3000000,1,50,26,1,1,0,0,1,1
"40","39","Senior Analyst/Data Scientist","$75K-$131K (Glassdoor est.)",3.4,"Edmunds.com
3.4","Santa Monica, CA","Santa Monica, CA","501 to 1000 ","1966","Company - Private","Internet","Information Technology","100 to 500 million ","TrueCar, Cars.com, Kelley Blue Book","Santa Monica","CA","75000-131000",75000,131000,103000,100000000,500000000,300000000,501,1000,751,1,0,0,0,0,1
"41","40","Data Analyst","$75K-$131K (Glassdoor est.)",3.1,"Cambridge Associates, LLC
3.1","Boston, MA","Boston, MA","501 to 1000 ","1973","Company - Private","Investment Banking & Asset Management","Finance","100 to 500 million ","Not Provided","Boston","MA","75000-131000",75000,131000,103000,100000000,500000000,300000000,501,1000,751,1,0,0,1,0,1
"42","41","Machine Learning Engineer","$75K-$131K (Glassdoor est.)",3.4,"Liberty Mutual Insurance
3.4","Portsmouth, NH","Boston, MA","10000 ","1912","Company - Private","Insurance Carriers","Insurance","10 billion ","Travelers, Allstate, State Farm","Portsmouth","NH","75000-131000",75000,131000,103000,10000000000,500000000,10000000000,10000,500,10000,1,0,0,0,1,0
"43","42","Data Analyst I","$75K-$131K (Glassdoor est.)",2.6,"Cenlar
2.6","Ewing, NJ","Ewing, NJ","1001 to 5000 ","1958","Company - Private","Not Provided","Not Provided","100 to 500 million ","Not Provided","Ewing","NJ","75000-131000",75000,131000,103000,100000000,500000000,300000000,1001,5000,3001,0,0,0,0,0,1
"44","43","Scientist - Molecular Biology","$75K-$131K (Glassdoor est.)",5,"Arsenal Biosciences
5.0","South San Francisco, CA","South San Francisco, CA","51 to 200 ","2019","Company - Private","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","Not Provided","Not Provided","South San Francisco","CA","75000-131000",75000,131000,103000,100000000,500000000,300000000,51,200,126,0,0,0,0,0,0
"45","44","Data Scientist","$75K-$131K (Glassdoor est.)",4.2,"Eversight
4.2","Palo Alto, CA","Palo Alto, CA","51 to 200 ","2013","Company - Private","Enterprise Software & Network Solutions","Information Technology","10 to 25 million ","Not Provided","Palo Alto","CA","75000-131000",75000,131000,103000,10000000,25000000,17500000,51,200,126,1,0,0,0,0,0
"46","45","Computational Scientist, Machine Learning","$75K-$131K (Glassdoor est.)",4.1,"Pfizer
4.1","Cambridge, MA","New York, NY","10000 ","1849","Company - Public","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","10 billion ","Not Provided","Cambridge","MA","75000-131000",75000,131000,103000,10000000000,500000000,10000000000,10000,500,10000,1,0,0,0,0,0
"47","46","Senior Data Scientist","$75K-$131K (Glassdoor est.)",4.8,"Klaviyo
4.8","Boston, MA","Boston, MA","201 to 500 ","2012","Company - Private","Computer Hardware & Software","Information Technology","Not Provided","Not Provided","Boston","MA","75000-131000",75000,131000,103000,100000000,500000000,300000000,201,500,351,0,0,0,0,0,0
"48","47","Data Scientist","$75K-$131K (Glassdoor est.)",3.3,"Intellectual Ventures
3.3","Bellevue, WA","Bellevue, WA","501 to 1000 ","2000","Company - Private","Investment Banking & Asset Management","Finance","Not Provided","Not Provided","Bellevue","WA","75000-131000",75000,131000,103000,100000000,500000000,300000000,501,1000,751,1,0,0,1,1,0
"49","48","Data Scientist","$75K-$131K (Glassdoor est.)",3.7,"GovTech
3.7","San Francisco, CA","Singapore, Singapore","1001 to 5000 ","2016","Government","Federal Agencies","Government","Not Provided","Not Provided","San Francisco","CA","75000-131000",75000,131000,103000,100000000,500000000,300000000,1001,5000,3001,1,0,0,0,0,0
"50","49","Data Scientist","$75K-$131K (Glassdoor est.)",4.3,"Quick Base
4.3","Cambridge, MA","Cambridge, MA","201 to 500 ","1999","Company - Private","Enterprise Software & Network Solutions","Information Technology","Not Provided","Not Provided","Cambridge","MA","75000-131000",75000,131000,103000,100000000,500000000,300000000,201,500,351,1,0,0,0,0,1
"51","50","Data Analyst","$75K-$131K (Glassdoor est.)",4.8,"Giving Assistant
4.8","San Francisco, CA","San Francisco, CA","1 to 50 ","2014","Company - Private","Advertising & Marketing","Business Services","10 to 25 million ","Not Provided","San Francisco","CA","75000-131000",75000,131000,103000,10000000,25000000,17500000,1,50,26,1,0,0,0,0,1
"52","51","Data Scientist","$75K-$131K (Glassdoor est.)",3.7,"Takeda
3.7","Cambridge, MA","OSAKA, Japan","10000 ","1781","Company - Public","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","10 billion ","Novartis, Baxter, Pfizer","Cambridge","MA","75000-131000",75000,131000,103000,10000000000,500000000,10000000000,10000,500,10000,1,0,0,0,1,1
"53","52","Data Scientist","$75K-$131K (Glassdoor est.)",4,"Netskope
4.0","San Francisco, CA","Santa Clara, CA","501 to 1000 ","2012","Company - Private","Enterprise Software & Network Solutions","Information Technology","Not Provided","Skyhigh Networks, Zscaler, NortonLifeLock","San Francisco","CA","75000-131000",75000,131000,103000,100000000,500000000,300000000,501,1000,751,1,0,0,0,0,0
"54","53","Jr. Data Engineer","$75K-$131K (Glassdoor est.)",4.8,"IT Concepts
4.8","Remote","Vienna, VA","51 to 200 ","2003","Company - Private","IT Services","Information Technology","10 to 25 million ","Not Provided","Remote","Not Provided","75000-131000",75000,131000,103000,10000000,25000000,17500000,51,200,126,0,0,0,0,0,0
"55","54","E-Commerce Data Analyst","$75K-$131K (Glassdoor est.)",3.5,"iSeatz
3.5","New Orleans, LA","New Orleans, LA","51 to 200 ","1999","Company - Private","Enterprise Software & Network Solutions","Information Technology","Not Provided","Not Provided","New Orleans","LA","75000-131000",75000,131000,103000,100000000,500000000,300000000,51,200,126,0,0,0,0,0,1
"56","55","Data Analytics Engineer","$75K-$131K (Glassdoor est.)",3.7,"Summa Health System
3.7","Akron, OH","Akron, OH","5001 to 10000 ","1926","Nonprofit Organization","Health Care Services & Hospitals","Health Care","100 to 500 million ","Not Provided","Akron","OH","75000-131000",75000,131000,103000,100000000,500000000,300000000,5001,10000,7501,0,1,0,0,0,0
"57","56","Senior Data Scientist","$75K-$131K (Glassdoor est.)",3.5,"Benson Hill
3.5","Saint Louis, MO","Saint Louis, MO","201 to 500 ","2012","Company - Private","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","1 to 5 million ","Not Provided","Saint Louis","MO","75000-131000",75000,131000,103000,1000000,5000000,3000000,201,500,351,1,0,0,1,0,0
"58","57","Product Data Scientist - Ads Data Science","$75K-$131K (Glassdoor est.)",4.1,"Twitter
4.1","San Francisco, CA","San Francisco, CA","1001 to 5000 ","2006","Company - Public","Internet","Information Technology","2 to 5 billion ","Facebook, Google, Pinterest","San Francisco","CA","75000-131000",75000,131000,103000,2000000000,5000000000,3500000000,1001,5000,3001,1,0,0,0,1,0
"59","58","Data Scientist","$75K-$131K (Glassdoor est.)",3.2,"Postmates - Corporate HQ
3.2","San Francisco, CA","San Francisco, CA","1001 to 5000 ","2011","Company - Private","Express Delivery Services","Transportation & Logistics","Not Provided","DoorDash, Uber, Grubhub","San Francisco","CA","75000-131000",75000,131000,103000,100000000,500000000,300000000,1001,5000,3001,1,1,0,0,0,1
"60","59","Data Scientist - Intermediate","$75K-$131K (Glassdoor est.)",4.5,"Envision LLC
4.5","Saint Louis, MO","Saint Louis, MO","201 to 500 ","1994","Company - Private","Staffing & Outsourcing","Business Services","25 to 50 million ","Not Provided","Saint Louis","MO","75000-131000",75000,131000,103000,25000000,50000000,37500000,201,500,351,1,0,0,0,0,0
"61","60","Data Analyst","$75K-$131K (Glassdoor est.)",3.8,"Swiss Re
3.8","Fort Wayne, IN","Zurich, Switzerland","10000 ","1863","Company - Public","Insurance Agencies & Brokerages","Insurance","10 billion ","Munich Re, Hannover RE, SCOR","Fort Wayne","IN","75000-131000",75000,131000,103000,10000000000,500000000,10000000000,10000,500,10000,1,0,0,0,0,1
"62","61","Machine Learning Engineer","$75K-$131K (Glassdoor est.)",4.5,"Systems & Technology Research
4.5","Woburn, MA","Woburn, MA","201 to 500 ","2010","Company - Private","Aerospace & Defense","Aerospace & Defense","100 to 500 million ","Not Provided","Woburn","MA","75000-131000",75000,131000,103000,100000000,500000000,300000000,201,500,351,1,0,0,0,0,0
"63","62","Data Scientist","$79K-$131K (Glassdoor est.)",3.5,"iRobot
3.5","Bedford, MA","Bedford, MA","1001 to 5000 ","1990","Company - Public","Consumer Electronics & Appliances Stores","Retail","1 to 2 billion ","Not Provided","Bedford","MA","79000-131000",79000,131000,105000,1000000000,2000000000,1500000000,1001,5000,3001,1,0,0,0,0,1
"64","63","Data Scientist","$79K-$131K (Glassdoor est.)",4.2,"HG Insights
4.2","Santa Barbara, CA","Santa Barbara, CA","51 to 200 ","2010","Company - Private","Computer Hardware & Software","Information Technology","Not Provided","Not Provided","Santa Barbara","CA","79000-131000",79000,131000,105000,100000000,500000000,300000000,51,200,126,1,0,0,0,1,1
"65","64","Global Data Analyst","$79K-$131K (Glassdoor est.)",3.8,"Dermalogica
3.8","Carson, CA","Carson, CA","201 to 500 ","1986","Subsidiary or Business Segment","Consumer Products Manufacturing","Manufacturing","100 to 500 million ","IMAGE Skincare, Aveda, Kiehl's","Carson","CA","79000-131000",79000,131000,105000,100000000,500000000,300000000,201,500,351,0,0,0,0,0,1
"66","65","Data Engineer","$79K-$131K (Glassdoor est.)",3.7,"Bayview Asset Management
3.7","Coral Gables, FL","Coral Gables, FL","1001 to 5000 ","1995","Company - Private","Investment Banking & Asset Management","Finance","100 to 500 million ","Not Provided","Coral Gables","FL","79000-131000",79000,131000,105000,100000000,500000000,300000000,1001,5000,3001,1,1,0,0,0,1
"67","66","Data Scientist","$79K-$131K (Glassdoor est.)",3.7,"Via Transportation
3.7","New York, NY","New York, NY","501 to 1000 ","2012","Company - Private","Internet","Information Technology","Not Provided","Not Provided","New York","NY","79000-131000",79000,131000,105000,100000000,500000000,300000000,501,1000,751,1,0,0,0,0,1
"68","67","Data Scientist","$79K-$131K (Glassdoor est.)",4,"Grid Dynamics
4.0","Santa Clara, CA","San Ramon, CA","1001 to 5000 ","2006","Company - Private","Enterprise Software & Network Solutions","Information Technology","50 to 100 million ","Luxoft, EPAM, Capgemini Invent","Santa Clara","CA","79000-131000",79000,131000,105000,50000000,100000000,75000000,1001,5000,3001,1,0,0,0,0,1
"69","68","Data & Machine Learning Scientist","$79K-$131K (Glassdoor est.)",3.3,"Tempus Labs
3.3","Chicago, IL","Chicago, IL","501 to 1000 ","2015","Company - Private","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","Not Provided","Not Provided","Chicago","IL","79000-131000",79000,131000,105000,100000000,500000000,300000000,501,1000,751,1,0,0,0,1,1
"70","69","Data Scientist - Machine Learning","$79K-$131K (Glassdoor est.)",2.5,"CareDx
2.5","Brisbane, CA","Brisbane, CA","1 to 50 ","Not Provided","Company - Private","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","Not Provided","Sequenom","Brisbane","CA","79000-131000",79000,131000,105000,100000000,500000000,300000000,1,50,26,1,0,0,0,0,0
"71","70","Data Engineer (Remote)","$79K-$131K (Glassdoor est.)",4.2,"IZEA
4.2","Winter Park, FL","Winter Park, FL","51 to 200 ","2006","Company - Public","Advertising & Marketing","Business Services","25 to 50 million ","Linqia, Collective Bias","Winter Park","FL","79000-131000",79000,131000,105000,25000000,50000000,37500000,51,200,126,1,0,0,0,1,1
"72","71","Data Scientist, Applied Machine Learning - Bay Area","$79K-$131K (Glassdoor est.)",3.3,"Tempus Labs
3.3","Redwood City, CA","Chicago, IL","501 to 1000 ","2015","Company - Private","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","Not Provided","Not Provided","Redwood City","CA","79000-131000",79000,131000,105000,100000000,500000000,300000000,501,1000,751,1,0,0,0,1,1
"73","72","Principal Data Scientist","$79K-$131K (Glassdoor est.)",4,"Autodesk
4.0","San Francisco, CA","San Rafael, CA","5001 to 10000 ","1982","Company - Public","Computer Hardware & Software","Information Technology","2 to 5 billion ","Not Provided","San Francisco","CA","79000-131000",79000,131000,105000,2000000000,5000000000,3500000000,5001,10000,7501,1,0,0,0,0,0
"74","73","Business Data Analyst","$79K-$131K (Glassdoor est.)",3.7,"Caterpillar
3.7","Peoria, IL","Deerfield, IL","10000 ","1925","Company - Public","Industrial Manufacturing","Manufacturing","10 billion ","John Deere, Komatsu, CNH Industrial","Peoria","IL","79000-131000",79000,131000,105000,10000000000,500000000,10000000000,10000,500,10000,0,0,0,0,0,1
"75","74","Purification Scientist","$79K-$131K (Glassdoor est.)",4.9,"New England Biolabs
4.9","Ipswich, MA","Ipswich, MA","201 to 500 ","1974","Company - Private","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","Not Provided","Thermo Fisher Scientific, Enzymatics, Illumina","Ipswich","MA","79000-131000",79000,131000,105000,100000000,500000000,300000000,201,500,351,0,0,0,0,0,0
"76","75","Data Analyst","$79K-$131K (Glassdoor est.)",3.4,"Allied Solutions
3.4","Carmel, IN","Carmel, IN","1001 to 5000 ","2001","Subsidiary or Business Segment","Insurance Agencies & Brokerages","Insurance","100 to 500 million ","CUNA Mutual, SWBC, Overby-Seawell","Carmel","IN","79000-131000",79000,131000,105000,100000000,500000000,300000000,1001,5000,3001,1,0,0,1,0,1
"77","76","Data Engineer, Enterprise Analytics","$79K-$131K (Glassdoor est.)",3.1,"Healthfirst
3.1","New York, NY","New York, NY","1001 to 5000 ","1993","Nonprofit Organization","Insurance Carriers","Insurance","Not Provided","EmblemHealth, UnitedHealth Group, Aetna","New York","NY","79000-131000",79000,131000,105000,100000000,500000000,300000000,1001,5000,3001,0,0,0,0,0,0
"78","77","Data Scientist","$79K-$131K (Glassdoor est.)",3.5,"The Knot Worldwide
3.5","Washington, DC","Chevy Chase, MD","1001 to 5000 ","2019","Company - Private","Internet","Information Technology","Not Provided","Zola Registry","Washington","DC","79000-131000",79000,131000,105000,100000000,500000000,300000000,1001,5000,3001,1,0,0,1,0,0
